,Year,Team,Wins,Losses,Draws,TeamsBeat,TeamsDraw,TeamsLoss,GoalsFor,GoalsAgainst
300,2002,IRL,1,0,3,['SAU'],"['CMR', 'DEU', 'ESP']",[],6.0,3.0
301,2002,CMR,1,1,1,['SAU'],['IRL'],['DEU'],2.0,3.0
302,2002,DEU,5,1,1,"['SAU', 'CMR', 'PRY', 'USA', 'KOR']",['IRL'],['BRA'],14.0,3.0
303,2002,SAU,0,3,0,[],[],"['DEU', 'CMR', 'IRL']",0.0,12.0
304,2002,ARG,1,1,1,['NGA'],['SWE'],['ENG'],2.0,2.0
305,2002,NGA,0,2,1,[],['ENG'],"['ARG', 'SWE']",1.0,3.0
306,2002,PRY,1,2,1,['SVN'],['ZAF'],"['ESP', 'DEU']",6.0,7.0
307,2002,ZAF,1,1,1,['SVN'],['PRY'],['ESP'],5.0,5.0
308,2002,ENG,2,1,2,"['ARG', 'DNK']","['SWE', 'NGA']",['BRA'],6.0,3.0
309,2002,SWE,1,1,2,['NGA'],"['ENG', 'ARG']",['SEN'],5.0,5.0
310,2002,ESP,3,0,2,"['SVN', 'PRY', 'ZAF']","['IRL', 'KOR']",[],10.0,5.0
311,2002,SVN,0,3,0,[],[],"['ESP', 'ZAF', 'PRY']",2.0,7.0
312,2002,BRA,7,0,0,"['TUR', 'CHN', 'CRI', 'BEL', 'ENG', 'TUR', 'DEU']",[],[],18.0,4.0
313,2002,TUR,4,2,1,"['CHN', 'JPN', 'SEN', 'KOR']",['CRI'],"['BRA', 'BRA']",10.0,6.0
314,2002,ITA,1,2,1,['ECU'],['MEX'],"['HRV', 'KOR']",5.0,5.0
315,2002,ECU,1,2,0,['HRV'],[],"['ITA', 'MEX']",2.0,4.0
316,2002,HRV,1,2,0,['ITA'],[],"['MEX', 'ECU']",2.0,3.0
317,2002,MEX,2,1,1,"['HRV', 'ECU']",['ITA'],['USA'],4.0,4.0
318,2002,CHN,0,3,0,[],[],"['CRI', 'BRA', 'TUR']",0.0,9.0
