,Year,Home_goals,Away_goals,Home Team,Away Team
282,1978,0,0,BRA,ESP
283,1978,1,0,AUT,SWE
284,1978,1,1,SCO,IRN
285,1978,0,0,NED,PER
286,1978,3,1,FRA,HUN
287,1978,3,1,POL,MEX
288,1978,0,0,FRG,TUN
289,1978,1,0,ITA,ARG
290,1978,1,0,BRA,AUT
291,1978,1,0,ESP,SWE
292,1978,4,1,PER,IRN
293,1978,3,2,SCO,NED
294,1978,0,0,FRG,ITA
295,1978,5,1,NED,AUT
296,1978,3,0,BRA,PER
297,1978,2,0,ARG,POL
298,1978,1,0,POL,PER
299,1978,1,0,ITA,AUT
300,1978,2,2,FRG,NED
301,1978,0,0,ARG,BRA
302,1978,2,1,NED,ITA
303,1978,3,2,AUT,FRG
304,1978,3,1,BRA,POL
305,1978,6,0,ARG,PER
306,1978,2,1,BRA,ITA
307,1978,3,1,ARG,NED
308,1982,0,1,ARG,BEL
309,1982,0,0,ITA,POL
310,1982,2,1,BRA,URS
311,1982,0,0,PER,CMR
312,1982,10,1,HUN,SLV
313,1982,5,2,SCO,NZL
314,1982,1,2,FRG,ALG
315,1982,3,1,ENG,FRA
316,1982,1,1,ESP,HON
317,1982,0,1,CHI,AUT
318,1982,1,1,TCH,KUW
319,1982,0,0,YUG,NIR
320,1982,1,1,ITA,PER
321,1982,4,1,ARG,HUN
322,1982,4,1,BRA,SCO
323,1982,0,0,POL,CMR
324,1982,1,0,BEL,SLV
325,1982,3,0,URS,NZL
326,1982,4,1,FRG,CHI
327,1982,2,0,ENG,TCH
328,1982,2,1,ESP,YUG
329,1982,0,2,ALG,AUT
330,1982,4,1,FRA,KUW
331,1982,1,1,HON,NIR
332,1982,5,1,POL,PER
333,1982,1,1,BEL,HUN
334,1982,2,2,URS,SCO
335,1982,1,1,ITA,CMR
336,1982,2,0,ARG,SLV
337,1982,4,0,BRA,NZL
338,1982,3,2,ALG,CHI
339,1982,1,1,FRA,TCH
340,1982,0,1,HON,YUG
341,1982,1,0,FRG,AUT
342,1982,1,0,ENG,KUW
