Unnamed: 0,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result,Population_Home,Population_Away
202,1970,3,2,peru,bulgaria,PER,BGR,W,13562371.0,8489574.0
203,1970,1,0,england,romania,ENG,ROU,W,,20250398.0
204,1970,1,0,italy,sweden,ITA,SWE,W,53821850.0,8042801.0
205,1970,2,1,germany fr,morocco,DEU,MAR,W,78169289.0,15274351.0
206,1970,4,1,brazil,czechoslovakia,BRA,CZE,W,96369875.0,9858071.0
207,1970,3,0,belgium,el salvador,BEL,SLV,W,9655549.0,3619090.0
208,1970,0,0,uruguay,italy,URY,ITA,D,2790265.0,53821850.0
209,1970,3,0,peru,morocco,PER,MAR,W,13562371.0,15274351.0
210,1970,2,1,romania,czechoslovakia,ROU,CZE,W,20250398.0,9858071.0
211,1970,4,1,soviet union,belgium,SUN,BEL,W,,9655549.0
212,1970,1,1,sweden,israel,SWE,ISR,D,8042801.0,2974000.0
213,1970,5,2,germany fr,bulgaria,DEU,BGR,W,78169289.0,8489574.0
214,1970,1,0,brazil,england,BRA,ENG,W,96369875.0,
215,1970,4,0,mexico,el salvador,MEX,SLV,W,50289306.0,3619090.0
216,1970,1,0,sweden,uruguay,SWE,URY,W,8042801.0,2790265.0
217,1970,3,1,germany fr,peru,DEU,PER,W,78169289.0,13562371.0
218,1970,3,2,brazil,romania,BRA,ROU,W,96369875.0,20250398.0
219,1970,2,0,soviet union,el salvador,SUN,SLV,W,,3619090.0
220,1970,0,0,italy,israel,ITA,ISR,D,53821850.0,2974000.0
221,1970,1,1,bulgaria,morocco,BGR,MAR,D,8489574.0,15274351.0
222,1970,1,0,england,czechoslovakia,ENG,CZE,W,,9858071.0
223,1970,1,0,mexico,belgium,MEX,BEL,W,50289306.0,9655549.0
224,1970,4,1,italy,mexico,ITA,MEX,W,53821850.0,50289306.0
225,1970,3,2,germany fr,england,DEU,ENG,W,78169289.0,
226,1970,4,2,brazil,peru,BRA,PER,W,96369875.0,13562371.0
227,1970,1,0,uruguay,soviet union,URY,SUN,W,2790265.0,
228,1970,3,1,brazil,uruguay,BRA,URY,W,96369875.0,2790265.0
229,1970,4,3,italy,germany fr,ITA,DEU,W,53821850.0,78169289.0
230,1970,1,0,germany fr,uruguay,DEU,URY,W,78169289.0,2790265.0
231,1970,4,1,brazil,italy,BRA,ITA,W,96369875.0,53821850.0
232,1974,0,0,brazil,yugoslavia,BRA,YUG,D,106167372.0,
233,1974,1,0,germany fr,chile,DEU,CHL,W,78967433.0,10472743.0
234,1974,2,0,german dr,australia,DEU,AUS,W,78967433.0,13723000.0
235,1974,0,2,zaire,scotland,COD,SCT,L,22448415.0,
236,1974,0,2,uruguay,netherlands,URY,NLD,L,2853588.0,13545056.0
237,1974,0,0,sweden,bulgaria,SWE,BGR,D,8159955.0,8678745.0
238,1974,3,1,italy,haiti,ITA,HTI,W,55110868.0,5030652.0
239,1974,3,2,poland,argentina,POL,ARG,W,33678899.0,25449754.0
240,1974,0,3,australia,germany fr,AUS,DEU,L,13723000.0,78967433.0
241,1974,0,0,scotland,brazil,SCT,BRA,D,,106167372.0
242,1974,1,1,chile,german dr,CHL,DEU,D,10472743.0,78967433.0
243,1974,9,0,yugoslavia,zaire,YUG,COD,W,,22448415.0
244,1974,0,0,netherlands,sweden,NLD,SWE,D,13545056.0,8159955.0
245,1974,1,1,bulgaria,uruguay,BGR,URY,D,8678745.0,2853588.0
246,1974,0,7,haiti,poland,HTI,POL,L,5030652.0,33678899.0
247,1974,1,1,argentina,italy,ARG,ITA,D,25449754.0,55110868.0
248,1974,1,1,scotland,yugoslavia,SCT,YUG,D,,
249,1974,0,0,australia,chile,AUS,CHL,D,13723000.0,10472743.0
250,1974,0,3,zaire,brazil,COD,BRA,L,22448415.0,106167372.0
251,1974,1,0,german dr,germany fr,DEU,DEU,W,78967433.0,78967433.0
252,1974,1,4,bulgaria,netherlands,BGR,NLD,L,8678745.0,13545056.0
253,1974,4,1,argentina,haiti,ARG,HTI,W,25449754.0,5030652.0
254,1974,3,0,sweden,uruguay,SWE,URY,W,8159955.0,2853588.0
255,1974,2,1,poland,italy,POL,ITA,W,33678899.0,55110868.0
256,1974,0,2,yugoslavia,germany fr,YUG,DEU,L,,78967433.0
257,1974,1,0,brazil,german dr,BRA,DEU,W,106167372.0,78967433.0
258,1974,4,0,netherlands,argentina,NLD,ARG,W,13545056.0,25449754.0
259,1974,0,1,sweden,poland,SWE,POL,L,8159955.0,33678899.0
260,1974,1,2,argentina,brazil,ARG,BRA,L,25449754.0,106167372.0
261,1974,2,1,poland,yugoslavia,POL,YUG,W,33678899.0,
262,1974,0,2,german dr,netherlands,DEU,NLD,L,78967433.0,13545056.0
263,1974,4,2,germany fr,sweden,DEU,SWE,W,78967433.0,8159955.0
