Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
2018,0,2,serbia,brazil,SRB,BRA,,
2018,0,1,senegal,colombia,SEN,COL,23116699808.0,334000000000.0
2018,0,1,japan,poland,JPN,POL,5040000000000.0,
2018,0,1,england,belgium,ENG,BEL,,543000000000.0
2018,1,2,panama,tunisia,PAN,TUN,64929409212.0,
2018,4,3,france,argentina,FRA,ARG,2790000000000.0,
2018,2,1,uruguay,portugal,URY,PRT,64515038268.0,242000000000.0
2018,1,1,spain,russia,ESP,RUS,1420000000000.0,
2018,1,1,croatia,denmark,HRV,DNK,,
2018,2,0,brazil,mexico,BRA,MEX,,1220000000000.0
2018,3,2,belgium,japan,BEL,JPN,543000000000.0,5040000000000.0
2018,1,0,sweden,switzerland,SWE,CHE,555000000000.0,
2018,1,1,colombia,england,COL,ENG,334000000000.0,
2018,0,2,uruguay,france,URY,FRA,64515038268.0,2790000000000.0
2018,1,2,brazil,belgium,BRA,BEL,,543000000000.0
2018,0,2,sweden,england,SWE,ENG,555000000000.0,
2018,2,2,russia,croatia,RUS,HRV,,
2018,1,0,france,belgium,FRA,BEL,2790000000000.0,543000000000.0
2018,2,1,croatia,england,HRV,ENG,,
2018,2,0,belgium,england,BEL,ENG,543000000000.0,
2018,4,2,croatia,france,HRV,FRA,,2790000000000.0
2022,0,2,qatar,ecuador,QAT,ECU,,
2022,6,2,england,iran,ENG,IRN,,
2022,0,2,senegal,netherlands,SEN,NLD,,
2022,1,1,united states,wales,USA,WLS,,
2022,1,2,argentina,saudi arabia,ARG,SAU,,
2022,0,0,denmark,tunisia,DNK,TUN,,
2022,0,0,mexico,poland,MEX,POL,,
2022,4,1,france,australia,FRA,AUS,,
2022,0,0,morocco,croatia,MAR,HRV,,
2022,1,2,germany,japan,DEU,JPN,,
2022,7,0,spain,costa rica,ESP,CRI,,
2022,1,0,belgium,canada,BEL,CAN,,
2022,1,0,switzerland,cameroon,CHE,CMR,,
2022,0,0,uruguay,korea republic,URY,KOR,,
2022,3,2,portugal,ghana,PRT,GHA,,
2022,2,0,brazil,serbia,BRA,SRB,,
2022,0,2,wales,iran,WLS,IRN,,
2022,1,3,qatar,senegal,QAT,SEN,,
2022,1,1,netherlands,ecuador,NLD,ECU,,
2022,0,0,england,united states,ENG,USA,,
2022,0,1,tunisia,australia,TUN,AUS,,
2022,2,0,poland,saudi arabia,POL,SAU,,
2022,2,1,france,denmark,FRA,DNK,,
2022,2,0,argentina,mexico,ARG,MEX,,
2022,0,1,japan,costa rica,JPN,CRI,,
2022,0,2,belgium,morocco,BEL,MAR,,
2022,4,1,croatia,canada,HRV,CAN,,
2022,1,1,spain,germany,ESP,DEU,,
2022,3,3,cameroon,serbia,CMR,SRB,,
2022,2,3,korea republic,ghana,KOR,GHA,,
2022,1,0,brazil,switzerland,BRA,CHE,,
2022,2,0,portugal,uruguay,PRT,URY,,
2022,2,0,netherlands,qatar,NLD,QAT,,
2022,1,2,ecuador,senegal,ECU,SEN,,
2022,0,3,wales,england,WLS,ENG,,
2022,0,1,iran,united states,IRN,USA,,
2022,1,0,australia,denmark,AUS,DNK,,
2022,1,0,tunisia,france,TUN,FRA,,
2022,0,2,poland,argentina,POL,ARG,,
2022,1,2,saudi arabia,mexico,SAU,MEX,,
2022,0,0,croatia,belgium,HRV,BEL,,
2022,1,2,canada,morocco,CAN,MAR,,
2022,2,1,japan,spain,JPN,ESP,,
2022,2,4,costa rica,germany,CRI,DEU,,
2022,0,2,ghana,uruguay,GHA,URY,,
2022,2,1,korea republic,portugal,KOR,PRT,,
2022,2,3,serbia,switzerland,SRB,CHE,,
2022,1,0,cameroon,brazil,CMR,BRA,,
2022,3,1,netherlands,united states,NLD,USA,,
2022,2,1,argentina,australia,ARG,AUS,,
2022,3,1,france,poland,FRA,POL,,
2022,3,0,england,senegal,ENG,SEN,,
2022,1,1,japan,croatia,JPN,HRV,,
2022,4,1,brazil,korea republic,BRA,KOR,,
2022,0,0,morocco,spain,MAR,ESP,,
2022,6,1,portugal,switzerland,PRT,CHE,,
2022,1,1,croatia,brazil,HRV,BRA,,
2022,2,2,netherlands,argentina,NLD,ARG,,
2022,1,0,morocco,portugal,MAR,PRT,,
2022,1,2,england,france,ENG,FRA,,
2022,3,0,argentina,croatia,ARG,HRV,,
2022,2,0,france,morocco,FRA,MAR,,
2022,2,1,croatia,morocco,HRV,MAR,,
2022,3,3,argentina,france,ARG,FRA,,
