Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
1970,4,1,italy,mexico,ITA,MEX,113000000000.0,35520000000.0
1970,3,2,germany fr,england,DEU,ENG,,
1970,4,2,brazil,peru,BRA,PER,,7432223177.0
1970,1,0,uruguay,soviet union,URY,SUN,2137096774.0,
1970,3,1,brazil,uruguay,BRA,URY,,2137096774.0
1970,4,3,italy,germany fr,ITA,DEU,113000000000.0,
1970,1,0,germany fr,uruguay,DEU,URY,,2137096774.0
1970,4,1,brazil,italy,BRA,ITA,,113000000000.0
1974,0,0,brazil,yugoslavia,BRA,YUG,,
1974,1,0,germany fr,chile,DEU,CHL,,16210404184.0
1974,2,0,german dr,australia,DEU,AUS,,88981577008.0
1974,0,2,zaire,scotland,COD,SCT,9596960180.0,
1974,0,2,uruguay,netherlands,URY,NLD,4090209682.0,87243413395.0
1974,0,0,sweden,bulgaria,SWE,BGR,66013338965.0,
1974,3,1,italy,haiti,ITA,HTI,200000000000.0,565400000.0
1974,3,2,poland,argentina,POL,ARG,,
1974,0,3,australia,germany fr,AUS,DEU,88981577008.0,
1974,0,0,scotland,brazil,SCT,BRA,,
1974,1,1,chile,german dr,CHL,DEU,16210404184.0,
1974,9,0,yugoslavia,zaire,YUG,COD,,9596960180.0
1974,0,0,netherlands,sweden,NLD,SWE,87243413395.0,66013338965.0
1974,1,1,bulgaria,uruguay,BGR,URY,,4090209682.0
1974,0,7,haiti,poland,HTI,POL,565400000.0,
1974,1,1,argentina,italy,ARG,ITA,,200000000000.0
1974,1,1,scotland,yugoslavia,SCT,YUG,,
1974,0,0,australia,chile,AUS,CHL,88981577008.0,16210404184.0
1974,0,3,zaire,brazil,COD,BRA,9596960180.0,
1974,1,0,german dr,germany fr,DEU,DEU,,
1974,1,4,bulgaria,netherlands,BGR,NLD,,87243413395.0
1974,4,1,argentina,haiti,ARG,HTI,,565400000.0
1974,3,0,sweden,uruguay,SWE,URY,66013338965.0,4090209682.0
1974,2,1,poland,italy,POL,ITA,,200000000000.0
1974,0,2,yugoslavia,germany fr,YUG,DEU,,
1974,1,0,brazil,german dr,BRA,DEU,,
1974,4,0,netherlands,argentina,NLD,ARG,87243413395.0,
1974,0,1,sweden,poland,SWE,POL,66013338965.0,
1974,1,2,argentina,brazil,ARG,BRA,,
1974,2,1,poland,yugoslavia,POL,YUG,,
1974,0,2,german dr,netherlands,DEU,NLD,,87243413395.0
1974,4,2,germany fr,sweden,DEU,SWE,,66013338965.0
1974,0,1,poland,germany fr,POL,DEU,,
1974,2,0,netherlands,brazil,NLD,BRA,87243413395.0,
1974,1,1,argentina,german dr,ARG,DEU,,
1974,2,1,sweden,yugoslavia,SWE,YUG,66013338965.0,
1974,0,1,brazil,poland,BRA,POL,,
