,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result
184,1966,0,0,Uruguay,Mexico,URY,MEX,D
185,1966,2,0,Argentina,Switzerland,ARG,CHE,W
186,1966,3,1,Portugal,Brazil,PRT,BRA,W
187,1966,1,0,Korea DPR,Italy,PRK,ITA,W
188,1966,2,0,England,France,ENG,FRA,W
189,1966,3,1,Hungary,Bulgaria,HUN,BGR,W
190,1966,2,1,Germany FR,Spain,DEU,ESP,W
191,1966,2,1,Soviet Union,Chile,SUN,CHL,W
192,1966,1,0,England,Argentina,ENG,ARG,W
193,1966,4,0,Germany FR,Uruguay,DEU,URY,W
194,1966,2,1,Soviet Union,Hungary,SUN,HUN,W
195,1966,5,3,Portugal,Korea DPR,PRT,PRK,W
196,1966,2,1,Germany FR,Soviet Union,DEU,SUN,W
197,1966,2,1,England,Portugal,ENG,PRT,W
198,1966,2,1,Portugal,Soviet Union,PRT,SUN,W
199,1966,4,2,England,Germany FR,ENG,DEU,W
200,1970,0,0,Mexico,Soviet Union,MEX,SUN,D
201,1970,2,0,Uruguay,Israel,URY,ISR,W
202,1970,3,2,Peru,Bulgaria,PER,BGR,W
203,1970,1,0,England,Romania,ENG,ROU,W
204,1970,1,0,Italy,Sweden,ITA,SWE,W
205,1970,2,1,Germany FR,Morocco,DEU,MAR,W
206,1970,4,1,Brazil,Czechoslovakia,BRA,CZE,W
207,1970,3,0,Belgium,El Salvador,BEL,SLV,W
208,1970,0,0,Uruguay,Italy,URY,ITA,D
209,1970,3,0,Peru,Morocco,PER,MAR,W
210,1970,2,1,Romania,Czechoslovakia,ROU,CZE,W
211,1970,4,1,Soviet Union,Belgium,SUN,BEL,W
212,1970,1,1,Sweden,Israel,SWE,ISR,D
213,1970,5,2,Germany FR,Bulgaria,DEU,BGR,W
214,1970,1,0,Brazil,England,BRA,ENG,W
215,1970,4,0,Mexico,El Salvador,MEX,SLV,W
216,1970,1,0,Sweden,Uruguay,SWE,URY,W
217,1970,3,1,Germany FR,Peru,DEU,PER,W
218,1970,3,2,Brazil,Romania,BRA,ROU,W
219,1970,2,0,Soviet Union,El Salvador,SUN,SLV,W
220,1970,0,0,Italy,Israel,ITA,ISR,D
221,1970,1,1,Bulgaria,Morocco,BGR,MAR,D
222,1970,1,0,England,Czechoslovakia,ENG,CZE,W
223,1970,1,0,Mexico,Belgium,MEX,BEL,W
224,1970,4,1,Italy,Mexico,ITA,MEX,W
225,1970,3,2,Germany FR,England,DEU,ENG,W
226,1970,4,2,Brazil,Peru,BRA,PER,W
227,1970,1,0,Uruguay,Soviet Union,URY,SUN,W
228,1970,3,1,Brazil,Uruguay,BRA,URY,W
229,1970,4,3,Italy,Germany FR,ITA,DEU,W
230,1970,1,0,Germany FR,Uruguay,DEU,URY,W
231,1970,4,1,Brazil,Italy,BRA,ITA,W
232,1974,0,0,Brazil,Yugoslavia,BRA,YUG,D
233,1974,1,0,Germany FR,Chile,DEU,CHL,W
234,1974,2,0,German DR,Australia,DEU,AUS,W
235,1974,0,2,Zaire,Scotland,COD,SCT,L
236,1974,0,2,Uruguay,Netherlands,URY,NLD,L
237,1974,0,0,Sweden,Bulgaria,SWE,BGR,D
238,1974,3,1,Italy,Haiti,ITA,HTI,W
239,1974,3,2,Poland,Argentina,POL,ARG,W
240,1974,0,3,Australia,Germany FR,AUS,DEU,L
241,1974,0,0,Scotland,Brazil,SCT,BRA,D
242,1974,1,1,Chile,German DR,CHL,DEU,D
243,1974,9,0,Yugoslavia,Zaire,YUG,COD,W
244,1974,0,0,Netherlands,Sweden,NLD,SWE,D
245,1974,1,1,Bulgaria,Uruguay,BGR,URY,D
246,1974,0,7,Haiti,Poland,HTI,POL,L
247,1974,1,1,Argentina,Italy,ARG,ITA,D
248,1974,1,1,Scotland,Yugoslavia,SCT,YUG,D
249,1974,0,0,Australia,Chile,AUS,CHL,D
250,1974,0,3,Zaire,Brazil,COD,BRA,L
